scope,signal,decl_type,bit_width,array_count,total_width
in,in.rob_commit->commit_entry[0:7].valid,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.diag_val,wire<32>,32,8,256
in,in.rob_commit->commit_entry[0:7].uop.dest_areg,wire<AREG_IDX_WIDTH>,6,8,48
in,in.rob_commit->commit_entry[0:7].uop.dest_preg,wire<PRF_IDX_WIDTH>,9,8,72
in,in.rob_commit->commit_entry[0:7].uop.old_dest_preg,wire<PRF_IDX_WIDTH>,9,8,72
in,in.rob_commit->commit_entry[0:7].uop.ftq_idx,wire<FTQ_IDX_WIDTH>,9,8,72
in,in.rob_commit->commit_entry[0:7].uop.ftq_offset,wire<FTQ_OFFSET_WIDTH>,4,8,32
in,in.rob_commit->commit_entry[0:7].uop.ftq_is_last,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.mispred,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.br_taken,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.dest_en,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.func7,wire<7>,7,8,56
in,in.rob_commit->commit_entry[0:7].uop.rob_idx,wire<ROB_IDX_WIDTH>,9,8,72
in,in.rob_commit->commit_entry[0:7].uop.rob_flag,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.stq_idx,wire<STQ_IDX_WIDTH>,9,8,72
in,in.rob_commit->commit_entry[0:7].uop.stq_flag,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.page_fault_inst,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.page_fault_load,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.page_fault_store,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.illegal_inst,wire<1>,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.type,wire<INST_TYPE_WIDTH>,5,8,40
in,in.rob_commit->commit_entry[0:7].uop.tma.is_cache_miss,bool,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.tma.is_ret,bool,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.tma.mem_commit_is_load,bool,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.tma.mem_commit_is_store,bool,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.dbg.instruction,wire<32>,32,8,256
in,in.rob_commit->commit_entry[0:7].uop.dbg.pc,wire<32>,32,8,256
in,in.rob_commit->commit_entry[0:7].uop.dbg.mem_align_mask,uint8_t,8,8,64
in,in.rob_commit->commit_entry[0:7].uop.dbg.difftest_skip,bool,1,8,8
in,in.rob_commit->commit_entry[0:7].uop.dbg.inst_idx,int64_t,64,8,512
in,in.rob_commit->commit_entry[0:7].uop.flush_pipe,wire<1>,1,8,8
in,in.rob_bcast->flush,wire<1>,1,1,1
in,in.rob_bcast->mret,wire<1>,1,1,1
in,in.rob_bcast->sret,wire<1>,1,1,1
in,in.rob_bcast->ecall,wire<1>,1,1,1
in,in.rob_bcast->exception,wire<1>,1,1,1
in,in.rob_bcast->fence,wire<1>,1,1,1
in,in.rob_bcast->fence_i,wire<1>,1,1,1
in,in.rob_bcast->page_fault_inst,wire<1>,1,1,1
in,in.rob_bcast->page_fault_load,wire<1>,1,1,1
in,in.rob_bcast->page_fault_store,wire<1>,1,1,1
in,in.rob_bcast->illegal_inst,wire<1>,1,1,1
in,in.rob_bcast->interrupt,wire<1>,1,1,1
in,in.rob_bcast->trap_val,wire<32>,32,1,32
in,in.rob_bcast->pc,wire<32>,32,1,32
in,in.rob_bcast->head_rob_idx,wire<ROB_IDX_WIDTH>,9,1,9
in,in.rob_bcast->head_valid,wire<1>,1,1,1
in,in.rob_bcast->head_incomplete_rob_idx,wire<ROB_IDX_WIDTH>,9,1,9
